Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
BURL,2024-04-30,QQQ,XLY,MDY,RF,0.6,0.02,0.5846845993520742,0,0.0030425531759626055,0.0,QQQ,2024-04-30
MTSI,2024-04-30,QQQ,XLK,,LR,0.55,0.02,0.5750788921406672,1,0.00028479685620179905,-0.000715203143798201,QQQ,2024-04-30
MUSA,2024-04-30,QQQ,XLP,MDY,LR,0.55,0.1,0.7905678638305931,1,-0.00042033315318929496,-0.001420333153189295,QQQ,2024-04-30
IRT,2024-04-30,QQQ,XLRE,MDY,LR,0.6,0.02,0.5069006030709836,-1,0.0007162057525435099,-0.0017162057525435099,QQQ,2024-04-30
CIVI,2024-04-30,QQQ,XLE,MDY,RF,0.6,0.02,0.5546257723129426,-1,0.0016466133860436093,-0.0026466133860436093,QQQ,2024-04-30
VAC,2024-04-30,QQQ,XLI,MDY,RF,0.6,0.04,0.5397322108527619,-1,0.002852605567102653,-0.003852605567102653,QQQ,2024-04-30
G,2024-04-30,QQQ,XLI,,RF,0.65,0.02,0.5285206057486991,-1,0.0035348092547274838,-0.004534809254727484,QQQ,2024-04-30
POR,2024-04-30,QQQ,XLU,,LR,0.65,0.02,0.5446974514297015,-1,0.004154993044087434,-0.005154993044087434,QQQ,2024-04-30
AMH,2024-04-30,QQQ,XLRE,,RF,0.55,0.02,0.5077343638158692,-1,0.005562179974210679,-0.006562179974210679,QQQ,2024-04-30
POST,2024-04-30,QQQ,XLP,MDY,LR,0.55,0.08,0.6550736679185323,1,-0.006882197836722576,-0.007882197836722577,QQQ,2024-04-30
EXLS,2024-04-30,QQQ,XLI,,RF,0.625,0.04,0.4777673667924484,-1,0.010150896447790901,-0.011150896447790902,QQQ,2024-04-30
IPGP,2024-04-30,QQQ,XLK,MDY,LR,0.575,0.02,0.49833066528015213,-1,0.011314315599663947,-0.012314315599663946,QQQ,2024-04-30
TNL,2024-04-30,QQQ,XLI,MDY,LR,0.575,0.02,0.4664852284345598,-1,0.011724548809944483,-0.012724548809944482,QQQ,2024-04-30
SATS,2024-04-30,QQQ,XLF,MDY,RF,0.6,0.04,0.5030240972390306,-1,0.012240632343927855,-0.013240632343927854,QQQ,2024-04-30
WING,2024-04-30,QQQ,XLY,,LR,0.55,0.02,0.5194027302424461,-1,0.01235883251765104,-0.013358832517651041,QQQ,2024-04-30
ESNT,2024-04-30,QQQ,XLF,MDY,RF,0.65,0.02,0.566313894012239,-1,0.012605668575094148,-0.013605668575094147,QQQ,2024-04-30
HOMB,2024-04-30,QQQ,XLF,IJR,RF,0.6,0.02,0.5002904434878157,-1,0.01312055289510208,-0.01412055289510208,QQQ,2024-04-30
GTLS,2024-04-30,QQQ,XLI,MDY,LR,0.65,0.06,0.5317345909593904,-1,0.01411706661690066,-0.015117066616900661,QQQ,2024-04-30
GMED,2024-04-30,QQQ,XLI,MDY,RF,0.625,0.02,0.5456060246011403,-1,0.017782099332212937,-0.018782099332212938,QQQ,2024-04-30
IRDM,2024-04-30,QQQ,XLI,IJR,RF,0.575,0.02,0.5254927189968884,-1,0.020055221755799914,-0.021055221755799915,QQQ,2024-04-30
ST,2024-04-30,QQQ,XLI,MDY,LR,0.65,0.06,0.5872879264031323,-1,0.02157386003753143,-0.02257386003753143,QQQ,2024-04-30
TRU,2024-04-30,QQQ,XLI,,RF,0.65,0.02,0.5551054600934983,-1,0.03317857890136156,-0.03417857890136156,QQQ,2024-04-30
GWRE,2024-05-31,SPY,XLK,,RF,0.625,0.02,0.5159641965362884,-1,-0.04033224694562218,0.03933224694562218,SPY,2024-05-31
PCTY,2024-05-31,SPY,XLY,,RF,0.6,0.04,0.498136348761446,-1,-0.028393394024421644,0.027393394024421643,SPY,2024-05-31
GTLS,2024-05-31,SPY,XLI,MDY,RF,0.575,0.02,0.5134924137565302,-1,-0.021535767014856162,0.02053576701485616,SPY,2024-05-31
AVAV,2024-05-31,SPY,XLI,IJR,LR,0.575,0.06,0.6889362255461676,1,0.021524754812728135,0.020524754812728134,SPY,2024-05-31
CIVI,2024-05-31,SPY,XLE,MDY,RF,0.6,0.02,0.5766282155248121,-1,-0.020798338043493677,0.019798338043493676,SPY,2024-05-31
VNOM,2024-05-31,SPY,XLE,MDY,RF,0.575,0.02,0.5436023874865441,-1,-0.020307951706665356,0.019307951706665355,SPY,2024-05-31
G,2024-05-31,SPY,XLI,,RF,0.65,0.06,0.5422865928265094,-1,-0.015439334954108326,0.014439334954108325,SPY,2024-05-31
WMS,2024-05-31,SPY,XLB,MDY,RF,0.65,0.06,0.5699185218702101,-1,-0.008579278404349779,0.0075792784043497785,SPY,2024-05-31
PEN,2024-05-31,SPY,XLY,,LR,0.65,0.02,0.4755203064298529,-1,-0.008245893932655698,0.007245893932655698,SPY,2024-05-31
FN,2024-05-31,SPY,XLK,,LR,0.6,0.04,0.4843002328808032,-1,-0.004894363879359059,0.003894363879359059,SPY,2024-05-31
EXLS,2024-05-31,SPY,XLI,,RF,0.65,0.08,0.525683775613291,-1,-0.004109270693528268,0.0031092706935282677,SPY,2024-05-31
REXR,2024-05-31,SPY,XLRE,MDY,RF,0.65,0.02,0.5814416227776619,-1,-0.0026353306250700113,0.0016353306250700113,SPY,2024-05-31
VAC,2024-05-31,SPY,XLI,MDY,RF,0.6,0.04,0.5372887147136839,-1,-0.0018545728087249642,0.0008545728087249642,SPY,2024-05-31
HOMB,2024-05-31,SPY,XLF,IJR,RF,0.6,0.02,0.4953689981333255,-1,-0.0014823482279462822,0.00048234822794628214,SPY,2024-05-31
IRT,2024-05-31,SPY,XLRE,MDY,LR,0.625,0.06,0.6706882531657141,0,0.027592498841120063,0.0,SPY,2024-05-31
