Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
IOSP,2024-04-30,SPY,XLB,IJR,LR,0.55,0.1,0.5439392368599789,0,-0.0010734789530592093,-0.0,SPY,2024-04-30
RHP,2024-04-30,SPY,XLI,MDY,RF,0.55,0.1,0.49172063713885256,0,0.006520141169211527,0.0,SPY,2024-04-30
ROCK,2024-04-30,SPY,XLI,IJR,RF,0.625,0.1,0.5297192485882798,0,-0.032720725302682066,-0.0,SPY,2024-04-30
ACLS,2024-04-30,SPY,XLK,IJR,RF,0.55,0.08,0.49096137061345524,0,0.001543048313781371,0.0,SPY,2024-04-30
RUSHA,2024-04-30,SPY,XLI,IJR,RF,0.55,0.1,0.536574950532868,0,-0.020513591223587972,-0.0,SPY,2024-04-30
RWT,2024-04-30,SPY,XLRE,MDY,RF,0.65,0.06,0.5903695635005216,0,0.11940907874090273,0.0,SPY,2024-04-30
SAFT,2024-04-30,SPY,XLF,IJR,LR,0.55,0.1,0.5837534551400657,0,0.007094716478854519,0.0,SPY,2024-04-30
SBSI,2024-04-30,SPY,XLF,IJR,RF,0.575,0.04,0.5450019327546755,0,0.01199239290045493,0.0,SPY,2024-04-30
SCSC,2024-04-30,SPY,XLI,IJR,RF,0.55,0.1,0.5088766083141711,0,-4.138700551744841e-05,-0.0,SPY,2024-04-30
SFNC,2024-04-30,SPY,XLF,IJR,LR,0.625,0.1,0.5607857362541236,0,0.011703515683146305,0.0,SPY,2024-04-30
SHO,2024-04-30,SPY,XLY,MDY,LR,0.55,0.06,0.5112046384270793,0,0.009498113557586785,0.0,SPY,2024-04-30
SHOO,2024-04-30,SPY,XLB,IJR,RF,0.55,0.1,0.5022851234916612,0,-0.028631389558254026,-0.0,SPY,2024-04-30
SIG,2024-04-30,SPY,XLI,MDY,LR,0.55,0.1,0.5301303531247746,0,-0.018535255578537153,-0.0,SPY,2024-04-30
SKT,2024-04-30,SPY,XLRE,MDY,RF,0.625,0.1,0.5782818693379552,0,-0.030517931347229903,-0.0,SPY,2024-04-30
SKY,2024-04-30,SPY,XLB,IJR,RF,0.55,0.1,0.5306934691609299,0,-0.007537786315259328,-0.0,SPY,2024-04-30
SKYW,2024-04-30,SPY,XLY,IJR,RF,0.575,0.1,0.5284802426231565,0,0.008188171280113237,0.0,SPY,2024-04-30
SLG,2024-04-30,SPY,XLRE,MDY,RF,0.55,0.08,0.5919431705078388,0,-0.00038290293158614336,-0.0,SPY,2024-04-30
SM,2024-04-30,SPY,XLE,MDY,RF,0.55,0.08,0.5586058304742513,0,-0.0049490464704283295,-0.0,SPY,2024-04-30
SNEX,2024-04-30,SPY,XLF,IJR,RF,0.55,0.1,0.47396385514325323,0,0.005988391130493263,0.0,SPY,2024-04-30
SPXC,2024-04-30,SPY,XLI,MDY,LR,0.55,0.1,0.46572495909000594,0,0.0056933153686553415,0.0,SPY,2024-04-30
STBA,2024-04-30,SPY,XLF,IJR,LR,0.575,0.1,0.6611347698691479,0,0.02235885217161296,0.0,SPY,2024-04-30
STC,2024-04-30,SPY,XLF,IJR,LR,0.6,0.1,0.5426409272320147,0,-0.006294360295641881,-0.0,SPY,2024-04-30
STRA,2024-04-30,SPY,XLI,MDY,LR,0.575,0.08,0.5998446440525431,0,0.0034969731806623657,0.0,SPY,2024-04-30
ITGR,2024-04-30,SPY,XLB,IJR,LR,0.6,0.1,0.6821161166494608,0,-0.017387109641729112,-0.0,SPY,2024-04-30
MDU,2024-04-30,SPY,XLI,MDY,LR,0.55,0.08,0.4841331424889771,0,0.010650472954701612,0.0,SPY,2024-04-30
INVX,2024-04-30,SPY,XLE,MDY,RF,0.625,0.08,0.5688547840384581,0,0.020120449107912827,0.0,SPY,2024-04-30
HLIT,2024-04-30,SPY,XLY,MDY,RF,0.55,0.1,0.46059120109334045,0,0.03616965700652181,0.0,SPY,2024-04-30
HFWA,2024-04-30,SPY,XLF,IJR,RF,0.575,0.08,0.5206484717027855,0,0.02669852756017684,0.0,SPY,2024-04-30
HELE,2024-04-30,SPY,XLB,IJR,RF,0.6,0.06,0.6293922719663188,0,0.002400196487413407,0.0,SPY,2024-04-30
CTS,2024-04-30,SPY,XLI,IJR,LR,0.55,0.08,0.5424844849614798,0,0.039924806444464035,0.0,SPY,2024-04-30
CVCO,2024-04-30,SPY,XLI,IJR,RF,0.575,0.1,0.5083348149226977,0,0.006921870650552487,0.0,SPY,2024-04-30
CWT,2024-04-30,SPY,XLU,IJR,LR,0.65,0.1,0.6106763051408541,0,0.0013038975655085515,0.0,SPY,2024-04-30
CXW,2024-04-30,SPY,XLF,MDY,LR,0.65,0.08,0.5758860560419778,0,-0.00246292097095716,-0.0,SPY,2024-04-30
DGII,2024-04-30,SPY,XLI,IJR,RF,0.575,0.08,0.5206895634914218,0,0.006008000925657795,0.0,SPY,2024-04-30
GTY,2024-04-30,SPY,XLRE,IJR,RF,0.55,0.1,0.5396981892465367,0,0.005072285042076467,0.0,SPY,2024-04-30
ASTE,2024-04-30,SPY,XLI,IJR,RF,0.55,0.08,0.5201456835050111,0,-0.18760280459483014,-0.0,SPY,2024-04-30
GPI,2024-04-30,SPY,XLI,IJR,RF,0.55,0.1,0.5199091314391652,0,0.0020984598114781997,0.0,SPY,2024-04-30
DVAX,2024-04-30,SPY,XLV,IJR,LR,0.55,0.1,0.5803806933206651,0,0.02483359130862834,0.0,SPY,2024-04-30
DXC,2024-04-30,SPY,XLI,MDY,RF,0.55,0.04,0.5330018172412067,0,-0.01848250341733256,-0.0,SPY,2024-04-30
GFF,2024-04-30,SPY,XLI,IJR,RF,0.575,0.1,0.5350094193003322,0,0.032454835034990775,0.0,SPY,2024-04-30
DY,2024-04-30,SPY,XLI,MDY,RF,0.55,0.1,0.5420300194641805,0,0.0029116659882607197,0.0,SPY,2024-04-30
AORT,2024-04-30,SPY,XLB,IJR,RF,0.55,0.1,0.5359437995906213,0,0.02965809121008701,0.0,SPY,2024-04-30
GEO,2024-04-30,SPY,XLF,IJR,LR,0.55,0.1,0.5845383099854652,0,-0.007901739653226665,-0.0,SPY,2024-04-30
GDEN,2024-04-30,SPY,XLI,MDY,RF,0.6,0.1,0.5054510970534805,0,-0.02129348501007816,-0.0,SPY,2024-04-30
ECPG,2024-04-30,SPY,XLI,MDY,RF,0.55,0.1,0.5319683894362774,0,0.01890325003078495,0.0,SPY,2024-04-30
APOG,2024-04-30,SPY,XLI,IJR,RF,0.55,0.08,0.5354751270955862,0,0.01585943177500344,0.0,SPY,2024-04-30
EPAC,2024-04-30,SPY,XLI,IJR,LR,0.55,0.02,0.5438932445158896,0,-0.0016584238392363068,-0.0,SPY,2024-04-30
EPC,2024-04-30,SPY,XLP,MDY,RF,0.575,0.1,0.4976831861669938,0,0.00665988446893828,0.0,SPY,2024-04-30
ARCB,2024-04-30,SPY,XLI,IJR,RF,0.575,0.1,0.579838488244531,0,-0.013445623955719518,-0.0,SPY,2024-04-30
ESE,2024-04-30,SPY,XLI,MDY,LR,0.575,0.1,0.5448275941785992,0,0.011841639627373191,0.0,SPY,2024-04-30
ETD,2024-04-30,SPY,XLI,IJR,RF,0.55,0.1,0.588604765857377,0,0.02212524929797966,0.0,SPY,2024-04-30
FSS,2024-04-30,SPY,XLI,IJR,LR,0.55,0.1,0.5966569158928159,0,-0.006951415780668762,-0.0,SPY,2024-04-30
EXTR,2024-04-30,SPY,XLI,MDY,RF,0.625,0.08,0.5678327908259355,0,0.027779611874481552,0.0,SPY,2024-04-30
FBNC,2024-04-30,SPY,XLF,IJR,RF,0.6,0.08,0.5277107499620499,0,0.025820033897250218,0.0,SPY,2024-04-30
FMC,2024-04-30,SPY,XLB,MDY,LR,0.55,0.1,0.5326513061528799,0,-0.02603213598635339,-0.0,SPY,2024-04-30
FBP,2024-04-30,SPY,XLF,IJR,LR,0.55,0.1,0.5513546860938952,0,0.023615294870808996,0.0,SPY,2024-04-30
