Scenario,Ticker,MeanNetPnL,MedianNetPnL,Trades,Dates,NonFlatHit,Suite
sp400_long,PB,-0.0061306591907725,-0.00458429160249755,18,18,0.4444444444444444,QQQ
sp400_long,AFG,-0.006152930402783661,-0.00134115428757185,11,18,0.18181818181818182,QQQ
sp400_long,CFR,-0.00623520459902575,0.0,16,18,0.5625,QQQ
sp400_long,ARW,-0.006237358842231621,-0.00406546202841415,15,18,0.3333333333333333,QQQ
sp400_long,ALV,-0.006241244287800217,0.0,8,18,0.125,QQQ
sp400_long,BCO,-0.0064254381109878,-0.003426063656007,14,18,0.2857142857142857,QQQ
sp400_long,IBOC,-0.006498261501678951,0.0,8,18,0.375,QQQ
sp400_long,OVV,-0.00657421902638369,-0.0070445080177633495,18,18,0.3888888888888889,QQQ
sp400_long,MMS,-0.006688078998977217,-0.00268733469519765,16,18,0.3125,QQQ
sp400_long,EEFT,-0.006764697266262528,-0.0067506206192034,16,18,0.25,QQQ
sp400_long,SMG,-0.00698094350908155,0.0,10,18,0.3,QQQ
sp400_long,MTN,-0.006996791017337305,0.0,14,18,0.5714285714285714,QQQ
sp400_long,RS,-0.007028668162115186,-0.0016306085798577,17,18,0.47058823529411764,QQQ
sp400_long,AMKR,-0.007258482619657895,0.0,10,18,0.4,QQQ
sp400_long,GATX,-0.007280638947024927,-0.0069577077483972995,18,18,0.3888888888888889,QQQ
sp400_long,NOV,-0.007317388829969484,-0.0024872084247313,17,18,0.47058823529411764,QQQ
sp400_long,LAD,-0.007491406757852783,-0.00361572927640435,15,18,0.3333333333333333,QQQ
sp400_long,WBS,-0.007699975131636172,-0.00413436638097385,17,18,0.47058823529411764,QQQ
sp400_long,POWI,-0.007816733254829254,-0.0051108853453482005,16,18,0.375,QQQ
sp400_long,GHC,-0.007837376342868234,-0.0073218526460952,18,18,0.3333333333333333,QQQ
sp400_long,WLK,-0.007918296021877356,-0.00357068092911975,13,18,0.23076923076923078,QQQ
sp400_long,LAMR,-0.007984592612682886,-0.00251896257326915,18,18,0.5,QQQ
sp400_long,WEX,-0.007994893857270828,-0.01012458612172285,18,18,0.2222222222222222,QQQ
sp400_long,CHDN,-0.008027674820682972,-0.0023575690105844,15,18,0.4,QQQ
sp400_long,PNFP,-0.0081034179596522,-0.0,13,18,0.46153846153846156,QQQ
sp400_long,M,-0.008111042563524434,0.0,3,18,0.0,QQQ
sp400_long,GEF,-0.008252145105090487,-0.0049355395000915,16,18,0.3125,QQQ
sp400_long,BIO,-0.008316856678302394,0.0,14,18,0.5,QQQ
sp400_long,UFPI,-0.00834526116219309,0.0,9,18,0.4444444444444444,QQQ
sp400_long,LFUS,-0.008382170046151253,-0.00573570710891355,16,18,0.375,QQQ
sp400_long,LSTR,-0.008502674327924432,-0.00980375318181935,18,18,0.3333333333333333,QQQ
sp400_long,EWBC,-0.008608533839928139,0.00110630163216225,17,18,0.5294117647058824,QQQ
sp400_long,FNB,-0.008691373594622106,-0.0030643444847405503,18,18,0.4444444444444444,QQQ
sp400_long,ALK,-0.008837944601603106,-0.0081739494580441,16,18,0.4375,QQQ
sp400_long,AAON,-0.008933461052248463,0.0,4,18,0.0,QQQ
sp400_long,MTG,-0.009261293185972479,-0.0098457340394915,18,18,0.16666666666666666,QQQ
sp400_long,NXST,-0.00929365240156537,-0.013671666289396249,18,18,0.2777777777777778,QQQ
sp400_long,OSK,-0.009367968199239135,0.0,10,18,0.3,QQQ
sp400_long,HWC,-0.009396856240367577,0.0,14,18,0.42857142857142855,QQQ
sp400_long,WTFC,-0.00944531634097915,-0.00700438394425075,17,18,0.4117647058823529,QQQ
sp400_long,SNV,-0.00945046150504509,-0.005190243614103101,16,18,0.375,QQQ
sp400_long,EXPO,-0.009462376389062823,-0.001967047772049,13,18,0.23076923076923078,QQQ
sp400_long,ASB,-0.009476082028716094,-0.0073619475357452994,18,18,0.4444444444444444,QQQ
sp400_long,SON,-0.009517198926849832,-0.0085688165989848,18,18,0.2222222222222222,QQQ
sp400_long,R,-0.009544207061996922,0.0,11,18,0.36363636363636365,QQQ
sp400_long,LECO,-0.009594114618236923,-0.004242515053786949,17,18,0.35294117647058826,QQQ
sp400_long,CNO,-0.009597408816178005,-0.004508799757367701,14,18,0.35714285714285715,QQQ
sp400_long,UMBF,-0.010016442351621717,-0.0007694875862858,18,18,0.5,QQQ
sp400_long,ZION,-0.010092753023983884,-0.00890320236353425,17,18,0.29411764705882354,QQQ
sp400_long,OLED,-0.010130164314820994,0.0,14,18,0.42857142857142855,QQQ
sp400_long,WTS,-0.010187090776018445,-0.008847071303078151,18,18,0.4444444444444444,QQQ
sp400_long,FFIN,-0.010225343145430617,-0.0027309044519368,17,18,0.47058823529411764,QQQ
sp400_long,CMA,-0.010274516619671822,-0.00517632335649325,14,18,0.2857142857142857,QQQ
sp400_long,BC,-0.010276926157546839,-0.00608316639347525,18,18,0.4444444444444444,QQQ
sp400_long,EXEL,-0.010288431710297344,-0.0018957067908864,15,18,0.4,QQQ
sp400_long,SSB,-0.010315088625688989,-0.00068153995508475,18,18,0.5,QQQ
sp400_long,OZK,-0.010380038252019046,-0.0032020792340047,16,18,0.375,QQQ
sp400_long,FLS,-0.010445782510165818,-0.00665976082124855,18,18,0.3888888888888889,QQQ
sp400_long,AMG,-0.010754038312261995,-0.0052827063520035,14,18,0.35714285714285715,QQQ
sp400_long,BYD,-0.010828789261961139,-0.0077506407013083495,17,18,0.35294117647058826,QQQ
sp400_long,TEX,-0.010829867419227172,-0.0025268536875795,17,18,0.35294117647058826,QQQ
sp400_long,CADE,-0.010920752489204672,-0.0046968625920105,17,18,0.29411764705882354,QQQ
sp400_long,MKSI,-0.01104176477988746,-0.00640919836484155,17,18,0.47058823529411764,QQQ
sp400_long,VLY,-0.011353120569356955,-0.00075025308571555,17,18,0.47058823529411764,QQQ
sp400_long,MSM,-0.011424246531509951,-0.0114907166250885,18,18,0.2777777777777778,QQQ
sp400_long,GPK,-0.0114517938915268,0.0,8,18,0.375,QQQ
sp400_long,KNX,-0.011467564262800477,-0.0037495308577014,14,18,0.2857142857142857,QQQ
sp400_long,HOG,-0.011632484036017583,-0.0089696622632749,18,18,0.3888888888888889,QQQ
sp400_long,WSO,-0.011655638878639627,-0.01427333181261055,18,18,0.3888888888888889,QQQ
sp400_long,UBSI,-0.0118060855228159,-0.0055083175665342,17,18,0.29411764705882354,QQQ
sp400_long,EXP,-0.011822239104543032,-0.0019249277009189,14,18,0.35714285714285715,QQQ
sp400_long,WHR,-0.012097816108564306,-0.00661454771781355,17,18,0.23529411764705882,QQQ
sp400_long,PAG,-0.01226620287067734,-0.0129625624233599,14,18,0.21428571428571427,QQQ
sp400_long,PII,-0.012443861370113178,-0.006655040548903901,16,18,0.25,QQQ
sp400_long,UTHR,-0.012525650953729168,0.0,7,18,0.2857142857142857,QQQ
sp400_long,ASGN,-0.012553660014512929,-0.0092093601153674,15,18,0.26666666666666666,QQQ
sp400_long,VMI,-0.01263103232422581,-0.014355236351879599,18,18,0.2222222222222222,QQQ
sp400_long,AVNT,-0.01347577339972065,-0.0032364842341946,16,18,0.4375,QQQ
sp400_long,MTZ,-0.013478624584630183,-0.01389219158273255,16,18,0.375,QQQ
sp400_long,CW,-0.013925473061355473,-0.0034759570330266,12,18,0.16666666666666666,QQQ
sp400_long,RRX,-0.01458389169844244,-0.00517485313591855,18,18,0.3888888888888889,QQQ
sp400_long,BDC,-0.014619460997938906,-0.01077863393460575,16,18,0.25,QQQ
sp400_long,TREX,-0.014634630309358465,-0.00872044668274195,16,18,0.3125,QQQ
sp400_long,VFC,-0.014709991515542151,0.0,14,18,0.42857142857142855,QQQ
sp400_long,KBH,-0.014761293041113495,-0.0043122974570354005,14,18,0.35714285714285715,QQQ
sp400_long,THO,-0.014943308165904926,-0.0017340109036322001,13,18,0.3076923076923077,QQQ
sp400_long,PVH,-0.01565852842299142,-0.0021491550811118,15,18,0.3333333333333333,QQQ
sp400_long,SLAB,-0.015883180705662362,-0.0126030306928347,16,18,0.375,QQQ
sp400_long,AYI,-0.01600825564948735,-0.00676236681450585,13,18,0.3076923076923077,QQQ
sp400_long,COLB,-0.017260567013850075,-0.0115784702800814,17,18,0.23529411764705882,QQQ
sp400_long,GAP,-0.0193782264447527,-0.010972991891586799,18,18,0.3333333333333333,QQQ
sp400_long,ATI,-0.020079710679093837,-0.0102036997282751,17,18,0.35294117647058826,QQQ
sp400_long,GME,-0.020488804589998133,0.0,6,18,0.3333333333333333,QQQ
sp400_long,CYTK,-0.020801098162758255,0.0,8,18,0.5,QQQ
sp400_long,CLF,-0.023360688963750677,-0.018537632866418102,17,18,0.23529411764705882,QQQ
sp400_long,FLG,-0.02593593616991619,-0.01924679714355015,18,18,0.2777777777777778,QQQ
sp400_long,COHR,-0.032719209201963945,-0.020542305721795648,17,18,0.35294117647058826,QQQ
sp400_med,LOPE,0.008071890320264072,0.0039879251998489,12,18,0.75,QQQ
sp400_med,PEN,0.004434140231434149,0.0,14,18,0.6428571428571429,QQQ
sp400_med,APPF,0.003362018563476667,0.0,9,18,0.5555555555555556,QQQ
sp400_med,CELH,0.003222812932117211,0.0,9,18,0.8888888888888888,QQQ
sp400_med,MUSA,0.0030554245636453944,0.0,11,18,0.5454545454545454,QQQ
sp400_med,CVLT,0.002720897234620872,0.0,8,18,0.75,QQQ
sp400_med,HQY,0.002283562497969511,0.0,2,18,1.0,QQQ
sp400_med,POR,0.001881359578974528,-0.0014256893549021502,18,18,0.4444444444444444,QQQ
sp400_med,ENSG,0.0017201517441900833,0.0,2,18,1.0,QQQ
sp400_med,PCTY,0.0015999342455033832,0.0033920870589078,18,18,0.6111111111111112,QQQ
sp400_med,BRX,0.001592024399179711,0.0,11,18,0.5454545454545454,QQQ
sp400_med,SFM,0.0012999397607883056,0.0,3,18,0.6666666666666666,QQQ
sp400_med,GWRE,0.0012943872216015888,-0.0,5,18,0.6,QQQ
sp400_med,RGA,0.0011754031181315501,0.0,2,18,0.5,QQQ
sp400_med,STWD,0.0010449900819803223,0.0,8,18,0.75,QQQ
sp400_med,VNOM,0.0007483369306620833,0.0,3,18,0.6666666666666666,QQQ
sp400_med,NWE,0.0007143250453808444,-0.0006970763039974,16,18,0.4375,QQQ
sp400_med,WING,0.0006342635758039499,0.0,10,18,0.6,QQQ
sp400_med,CROX,0.00021728394882238893,0.0,3,18,0.3333333333333333,QQQ
sp400_med,OGS,0.00016583852172432224,0.00246532921682425,16,18,0.6875,QQQ
sp400_med,PLNT,0.00014153363193651644,0.00106109019489335,17,18,0.5294117647058824,QQQ
sp400_med,AMH,-0.0001935031087981723,-8.500385466405e-05,16,18,0.5625,QQQ
sp400_med,UAA,-0.00023084687447970568,0.0,12,18,0.6666666666666666,QQQ
sp400_med,WU,-0.0002943983096488333,0.0,3,18,0.3333333333333333,QQQ
sp400_med,POST,-0.0007010169762671722,0.0,9,18,0.5555555555555556,QQQ
