Ticker,Market,Sector,Size,Model,Threshold,Band,AUC,PR_AUC,CAGR,Sharpe,MaxDD,TradeRate,Scenario,Suite
REG,QQQ,XLRE,MDY,LR,0.55,0.02,0.4886178861788618,0.47727810347975463,-0.20377564136670168,-1.1856219807355157,-0.3870595173463578,0.8046709129511678,sp500_long,QQQ
WM,QQQ,XLP,,RF,0.575,0.1,0.4773340424503215,0.5178087644942966,-0.07995933432828362,-1.1984661116026012,-0.27134224018455233,0.13062568605927552,sp500_long,QQQ
BALL,QQQ,XLB,,LR,0.575,0.02,0.5005066589461494,0.5020991498880926,-0.26108837268640384,-1.218455974284469,-0.7115827588300836,0.858397365532382,sp500_long,QQQ
T,QQQ,XLP,,RF,0.55,0.06,0.4838803032933958,0.4911712851270768,-0.08788165750568322,-1.245269021028937,-0.31391325395884795,0.12294182217343579,sp500_long,QQQ
MCK,QQQ,XLV,,LR,0.625,0.02,0.5187346437346437,0.5613042900347608,-0.273105119784639,-1.3451952666737665,-0.7051492114493068,0.9934138309549945,sp500_long,QQQ
NVR,QQQ,XLRE,MDY,RF,0.55,0.1,0.5151393403703569,0.4582989511815102,-0.06371875593622267,-1.3862561527461412,-0.12397780447376505,0.025477707006369428,sp500_long,QQQ
CLX,QQQ,XLP,,LR,0.575,0.1,0.4862717113758386,0.45214474694871093,-0.1527307756920363,-1.462110028244485,-0.4908367416496072,0.2854006586169045,sp500_long,QQQ
AON,QQQ,XLF,,LR,0.55,0.04,0.48831306697548726,0.5136729211651903,-0.22018221219837386,-1.497780245866948,-0.637710084668988,0.5806805708013172,sp500_long,QQQ
WTW,QQQ,XLF,,LR,0.625,0.08,0.4960737782408211,0.5194007674893864,-0.22229021833163976,-1.6583632337103333,-0.5912938424319576,0.5027442371020856,sp500_long,QQQ
LYB,QQQ,XLB,MDY,RF,0.55,0.02,0.49755863980324017,0.45609157856194715,0.740415755687365,1.8160292672985114,-0.21369763707801592,0.9410187667560321,sp500_med,QQQ
KHC,QQQ,XLP,,RF,0.65,0.02,0.4946352666940902,0.46298062031704423,0.24148256347779973,1.3012476530635506,-0.10972560109704788,0.9979381443298969,sp500_med,QQQ
KEYS,QQQ,XLI,,RF,0.6,0.02,0.5074729376633073,0.454816550070839,0.34963954918501927,1.2945875496205914,-0.21651066302514743,0.948076923076923,sp500_med,QQQ
CPAY,QQQ,XLF,,LR,0.575,0.02,0.5104646113764655,0.4554015291260334,0.3281353885397693,1.2604427002824297,-0.22351532230349613,0.9971988795518207,sp500_med,QQQ
NXPI,QQQ,XLK,,LR,0.575,0.1,0.5149916355681379,0.44252714125893877,0.2093318076912405,1.1775050721336922,-0.1327545682988387,0.15846994535519127,sp500_med,QQQ
AMCR,QQQ,XLB,MDY,LR,0.55,0.08,0.48989196532539786,0.45878606868547134,0.2597898441023243,1.0660946184892737,-0.24982108693154004,0.9477911646586346,sp500_med,QQQ
PYPL,QQQ,XLY,,LR,0.625,0.04,0.49969295851528384,0.4703360886165964,0.2921640602978368,0.9601358718734324,-0.21577353147366418,0.9298969072164949,sp500_med,QQQ
NOW,QQQ,XLK,,RF,0.55,0.1,0.5010125677526952,0.5010977600053862,0.03610515681353843,0.7424181791328887,-0.020215431872500522,0.014173228346456693,sp500_med,QQQ
NCLH,QQQ,XLY,MDY,RF,0.55,0.1,0.5214084201388889,0.5020007035516743,0.04605698387847412,0.7320122110466473,-0.05050503115370497,0.023026315789473683,sp500_med,QQQ
AVGO,QQQ,XLK,,RF,0.625,0.1,0.550985819640485,0.5192241960779251,0.17369216882755434,0.7218489669740165,-0.30003057465285043,0.4373401534526854,sp500_med,QQQ
CDW,QQQ,XLI,,LR,0.625,0.02,0.48483881641141996,0.41994857895655135,0.1401073383503748,0.6785206108822968,-0.2710640265032803,0.9010238907849829,sp500_med,QQQ
TEL,QQQ,XLI,,LR,0.65,0.02,0.5175115628042843,0.4834345299945529,0.12043012906152262,0.6171500076595823,-0.3047703989984131,0.9955056179775281,sp500_med,QQQ
