Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
VSCO,2024-04-30,QQQ,XLY,MDY,RF,0.65,0.02,0.49681494679821847,-1,-0.0035590859343802494,0.0025590859343802494,QQQ,2024-04-30
EPRT,2024-04-30,QQQ,XLRE,MDY,LR,0.575,0.02,0.6227527904764286,1,0.0018213845676757464,0.0008213845676757463,QQQ,2024-04-30
EMBC,2024-04-30,QQQ,XLV,MDY,RF,0.55,0.04,0.3938739132053188,-1,-0.0013242776832335177,0.0003242776832335177,QQQ,2024-04-30
HTZ,2024-04-30,QQQ,XLY,MDY,LR,0.55,0.04,0.4614401818044371,-1,-0.001043119164287636,4.3119164287635896e-05,QQQ,2024-04-30
IIPR,2024-04-30,QQQ,XLRE,MDY,RF,0.55,0.08,0.4986830056239054,0,0.02241268610339701,0.0,QQQ,2024-04-30
GOLF,2024-04-30,QQQ,XLI,MDY,RF,0.55,0.1,0.5391970733899965,0,0.004219348760286442,0.0,QQQ,2024-04-30
HAYW,2024-04-30,QQQ,XLI,MDY,RF,0.6,0.04,0.589836796624892,0,0.005352749246118205,0.0,QQQ,2024-04-30
PI,2024-04-30,QQQ,XLI,MDY,LR,0.55,0.08,0.607557701571666,0,-0.0192648085830957,-0.0,QQQ,2024-04-30
PTGX,2024-04-30,QQQ,XLRE,MDY,RF,0.55,0.1,0.5174370933780829,0,0.02225385806204892,0.0,QQQ,2024-04-30
ICHR,2024-04-30,QQQ,XLK,MDY,RF,0.575,0.08,0.6157509353008915,0,-0.00234945213548863,-0.0,QQQ,2024-04-30
ACA,2024-04-30,QQQ,XLI,MDY,LR,0.575,0.1,0.6286365930674148,0,0.014764919992912911,0.0,QQQ,2024-04-30
PENG,2024-04-30,QQQ,XLK,,RF,0.55,0.1,0.5326982862691156,0,0.018981791835274223,0.0,QQQ,2024-04-30
RCUS,2024-04-30,QQQ,XLV,,LR,0.55,0.08,0.4924855224980712,0,0.024500979664538125,0.0,QQQ,2024-04-30
